spp,target_kappaR,quantity,SSF4,ETDRK4,absolute_difference,relative_difference
160,7.0,omega,0.8462874708448075,0.8462868987466071,-5.720982003687425e-07,6.760092995322792e-07
160,7.0,kappa,0.5327264933257019,0.5327274021578484,9.088321465400284e-07,1.7060014058365604e-06
160,7.0,A1,0.004437812187346147,0.004437827331557827,1.5144211680702402e-08,3.4125400177781706e-06
160,7.0,A2,-1.8635755850582902e-05,-1.863610978834387e-05,-3.5393776096943755e-10,1.8992401693133733e-05
160,7.0,F0,0.0043801900144180336,0.0043802040087997,1.3994381666514177e-08,3.1949257042387733e-06
160,7.0,Fpi2,-1.993215174965654e-05,-1.9932587124179113e-05,-4.3537452257340044e-10,2.1842826005019885e-05
160,8.0,omega,0.8462874708448075,0.8462868987466071,-5.720982003687425e-07,6.760092995322792e-07
160,8.0,kappa,0.5327264933257019,0.5327274021578484,9.088321465400284e-07,1.7060014058365604e-06
160,8.0,A1,0.001788301584513619,0.0017883099999706452,8.4154570261126e-09,4.705837706004957e-06
160,8.0,A2,-3.0191673781196344e-06,-3.019245487269414e-06,-7.810914977946702e-11,2.5871089607530844e-05
160,8.0,F0,0.001777619433130817,0.001777627421113435,7.987982618027842e-09,4.49364046609182e-06
160,8.0,Fpi2,-4.653444805117704e-06,-4.65352740989888e-06,-8.260478117635495e-11,1.775131856845255e-05
320,7.0,omega,0.8463557896693058,0.8463557536088063,-3.606049947535439e-08,4.2606785367941074e-08
320,7.0,kappa,0.5326179468373609,0.5326180041392419,5.7301881017934875e-08,1.0758533646526271e-07
320,7.0,A1,0.004438918105613697,0.00443891906203552,9.564218236834954e-10,2.1546282245530786e-07
320,7.0,A2,-1.8618994328453928e-05,-1.8619016789252503e-05,-2.2460798574774204e-11,1.2063379030332026e-06
320,7.0,F0,0.004381252601239485,0.004381253485098938,8.838594535084954e-10,2.0173670270882026e-07
320,7.0,Fpi2,-1.9994803883060073e-05,-1.9994831614229654e-05,-2.7731169580981225e-11,1.3869188086648616e-06
320,8.0,omega,0.8463557896693058,0.8463557536088063,-3.606049947535439e-08,4.2606785367941074e-08
320,8.0,kappa,0.5326179468373609,0.5326180041392419,5.7301881017934875e-08,1.0758533646526271e-07
320,8.0,A1,0.0017889003562577518,0.0017889008868695985,5.306118467784254e-10,2.966134166848882e-07
320,8.0,A2,-3.0158738973763984e-06,-3.0158788569330442e-06,-4.959556645795909e-12,1.644484091364158e-06
320,8.0,F0,0.0017781284862597273,0.0017781289902310455,5.039713182365679e-10,2.834279536776703e-07
320,8.0,Fpi2,-4.707274076621418e-06,-4.707279345478194e-06,-5.268856775571609e-12,1.1193010412840162e-06
