target_kappaR,actual_kappaR,delta,delta_over_pi,Fbar,Pi_left
6.0,5.929535736275306,0.0,0.0,0.012000616304128835,-1.794019170416397e-15
6.0,5.929535736275306,0.09817477042468103,0.03125,0.011943524323336958,0.0019637244125853843
6.0,5.929535736275306,0.19634954084936207,0.0625,0.011772711809198859,0.003908539408715146
6.0,5.929535736275306,0.2945243112740431,0.09375,0.011489569669806507,0.00581571755933652
6.0,5.929535736275306,0.39269908169872414,0.125,0.011096417114468366,0.0076668936454582035
6.0,5.929535736275306,0.4908738521234052,0.15625,0.01059649995931085,0.00944424137634529
6.0,5.929535736275306,0.5890486225480862,0.1875,0.009993983143700511,0.011130644910294998
6.0,5.929535736275306,0.6872233929727672,0.21875,0.009293934911781132,0.012709863547956684
6.0,5.929535736275306,0.7853981633974483,0.25,0.00850230174299928,0.01416668804160199
6.0,5.929535736275306,0.8835729338221293,0.28125,0.007625874872072692,0.01548708704375754
6.0,5.929535736275306,0.9817477042468103,0.3125,0.006672250310576281,0.01665834230410773
6.0,5.929535736275306,1.0799224746714913,0.34374999999999994,0.005649784186997006,0.017669171316316568
6.0,5.929535736275306,1.1780972450961724,0.375,0.004567544022592011,0.018509836219881046
6.0,5.929535736275306,1.2762720155208536,0.40625000000000006,0.003435254832054781,0.01917223787983673
6.0,5.929535736275306,1.3744467859455345,0.4375,0.002263237504474586,0.019649994201132004
6.0,5.929535736275306,1.4726215563702154,0.46874999999999994,0.0010623364782178966,0.019938501884534485
6.0,5.929535736275306,1.5707963267948966,0.5,-0.0001561654718293866,0.020034980994662947
6.0,5.929535736275306,1.6689710972195777,0.53125,-0.0013806457640529297,0.019938501884534835
6.0,5.929535736275306,1.7671458676442586,0.5625,-0.0025992523003805293,0.019649994201132705
6.0,5.929535736275306,1.8653206380689396,0.59375,-0.003800022541165488,0.019172237879837767
6.0,5.929535736275306,1.9634954084936207,0.625,-0.004971008058795366,0.018509836219882416
6.0,5.929535736275306,2.061670178918302,0.65625,-0.006100402033132761,0.017669171316318257
6.0,5.929535736275306,2.1598449493429825,0.6874999999999999,-0.0071766685180082775,0.016658342304109723
6.0,5.929535736275306,2.2580197197676637,0.71875,-0.008188673494429626,0.015487087043759815
6.0,5.929535736275306,2.356194490192345,0.75,-0.009125818044793295,0.014166688041604524
6.0,5.929535736275306,2.454369260617026,0.78125,-0.009978173157548929,0.012709863547959452
