omega,kappa,kappaR,c0_full,A1_full,A2_full,A3_full,B1_full,B2_full,B3_full,A1_quadratic_local,B1_quadratic_local,A1_Manton,B1_Manton_M7,A2_quartic_local,A1q_over_Manton,B1q_over_Manton,B1q_over_A1q,omega_over_kappa,A2_over_quartic,c0_over_2A2quartic,deltaA1_over_4A2quartic,B2_over_B1
0.8,0.5999999999999999,5.5,-0.0012951843942193262,0.049043305104606166,-0.0006417192941688334,3.179096870655709e-06,0.06884724570250518,5.232192302907502e-18,3.546988840926565e-07,0.05163960712420443,0.06884724570250515,0.05296455784249424,0.07061941045665901,-0.0006594520478316802,0.9749842012798455,0.9749054156258996,1.3332255905222639,1.3333333333333337,0.9731098664093119,0.9820155980089637,0.9842649014947586,7.599711868672642e-17
0.8,0.5999999999999999,6.0,-0.00048466312501932614,0.030662541002310355,-0.00024099135733416388,7.274063155449865e-07,0.04217636275969827,-1.379729340956831e-17,8.073735340222994e-08,0.031633215830700764,0.042176362759698306,0.03212462820959597,0.04283283761279463,-0.0002450277965963656,0.9847029395736816,0.9846735614616335,1.3332935540105655,1.3333333333333337,0.9835266067022961,0.9889962113517102,0.9903721556022097,-3.2713331607514405e-16
0.8,0.5999999999999999,7.0,-6.669807798709111e-05,0.01161748631079506,-3.3280827554898747e-05,3.71187587765955e-08,0.015667870962577678,-3.610510887132173e-18,4.098832410733813e-09,0.011750950835407099,0.01566787096257767,0.011817990273586517,0.015757320364782026,-3.348575885630416e-05,0.9943273402137374,0.9943233113160359,1.3333279308231294,1.3333333333333337,0.9938800460731733,0.9959170743794309,0.99642750508335,-2.3044042778727176e-16
0.8,0.5999999999999999,8.0,-9.082559951450918e-06,0.004320327456503532,-4.537856171561211e-06,1.864929061868274e-09,0.005784658161283059,-9.985469918399801e-19,2.0554214768225374e-10,0.004338496003116215,0.005784658161283049,0.004347595657616548,0.005796794210155399,-4.548133072801545e-06,0.9979069685368758,0.9979064206124328,1.3333326012351052,1.3333333333333337,0.9977404132474066,0.9984932065604966,0.9986815646035777,-1.7261987899705014e-16
0.8,0.5999999999999999,9.0,-1.231993277894413e-06,0.0015956940571878677,-6.158256657649167e-07,9.316119145005694e-11,0.0021308774612746346,-2.286723416693234e-19,1.0260486168097642e-11,0.0015981582147702338,0.0021308774612746346,0.0015993910609633654,0.002132521414617821,-6.163386861736511e-07,0.9992291777644493,0.9992291034772651,1.3333332342073463,1.3333333333333337,0.9991676323095677,0.9994450336574391,0.9995144056525783,-1.0731369861715918e-16
0.9,0.4358898943540673,5.5,-0.00022882681888658455,0.010967096029623858,-0.00011397928711117323,2.2662950974871913e-07,0.023588859733966898,-4.095805142454673e-18,2.124566876007131e-08,0.011425185648121854,0.023588859733966887,0.01165688485361404,0.024068455140028516,-0.0001152851655819973,0.9801234027442288,0.9800736938340505,2.064636887352861,2.0647416048350564,0.9886726235397975,0.9924382626827649,0.9933837024594826,-1.7363302799061956e-16
0.9,0.4358898943540673,6.0,-8.510026633813134e-05,0.006814211060478399,-4.245180351697844e-05,5.139787414122535e-08,0.014420939281598955,-2.5366326159727685e-19,4.816061529131966e-09,0.006984510178885761,0.014420939281598955,0.0070702580604567284,0.01459825597434542,-4.274727627674932e-05,0.987872029445354,0.9878535701074104,2.064703023154521,2.0647416048350564,0.9930879161081992,0.9953881714847204,0.9959647329623496,-1.7589926470389477e-17
0.9,0.4358898943540673,7.0,-1.16401551935594e-05,0.002566044573300111,-5.815109700407161e-06,2.6000285733467126e-09,0.005346283543063475,6.397731863073224e-19,2.43507442405736e-10,0.0025893298563572165,0.005346283543063471,0.002601002584218707,0.005370398249919862,-5.83002240702362e-06,0.995512219813885,0.9955096985858077,2.064736375683266,2.0647416048350564,0.9974420841678938,0.998294207200312,0.9985074426580696,1.1966690153151245e-16
0.9,0.4358898943540673,8.0,-1.581513883401575e-06,0.0009521089589521362,-7.905082627473363e-07,1.3021043957376903e-10,0.0019723896521502663,3.0312666734920763e-19,1.2192673393185997e-11,0.0009552722354858938,0.0019723896521502645,0.0009568553771678553,0.0019756591070486107,-7.912544658370366e-07,0.9983454744366412,0.9983451320692514,2.0647408967633396,2.0647416048350564,0.9990569366469092,0.999371221070174,0.9994498199802304,1.5368498157488507e-16
0.9,0.4358898943540673,9.0,-2.1434396799335404e-07,0.0003513642959676394,-1.0715957830799106e-07,6.496833911766818e-12,0.0007263616020547654,-8.59464853323106e-20,6.083095147408942e-13,0.00035179299631093433,0.0007263616020547654,0.0003520074214344003,0.0007268043682463137,-1.0719679842794129e-07,0.9993908505605018,0.999390804168367,2.064741508988901,2.0647416048350564,0.9996527870188655,0.9997685151830261,0.999797451001082,-1.183246541243111e-16
0.95,0.31224989991991997,5.5,-4.883714328911931e-05,0.002608033264045842,-2.437584485273011e-05,2.1848646956101885e-08,0.008231732388804218,-5.395513866719359e-19,1.5758741269412272e-09,0.002705750361633565,0.008231732388804222,0.0027550047015640336,0.008381922515129888,-2.450418433058926e-05,0.9821218671959048,0.9820816613307312,3.042310371838742,3.0424349222966547,0.9947625484640621,0.9965062013542426,0.9969429737938659,-6.554530215362283e-17
0.95,0.31224989991991997,6.0,-1.8118921164340005e-05,0.0016165345678890337,-9.049810894210067e-06,4.937573465178477e-09,0.005028406110253087,7.886094662978763e-19,3.566547013105554e-10,0.0016527820714780778,0.005028406110253085,0.0016709948191510403,0.005083892992761908,-9.078781819140215e-06,0.9891006558104019,0.9890857493287485,3.042389070542251,3.0424349222966547,0.9968089413858289,0.9978718249479817,0.9981378645047333,1.5683090208045753e-16
0.95,0.31224989991991997,7.0,-2.47249987634381e-06,0.0006073019467641309,-1.2357637953663743e-06,2.489056129169754e-10,0.0018627191690608364,-1.1165438654015293e-19,1.800467433194877e-11,0.0006122474328747573,0.0018627191690608366,0.0006147246402696601,0.0018702597131526623,-1.2372226301563696e-06,0.9959702162031181,0.9959681834352755,3.042428712709488,3.0424349222966547,0.9988208793191805,0.9992138100607312,0.99931208621712,-5.994161030535156e-17
0.95,0.31224989991991997,8.0,-3.356384239256957e-07,0.00022513738251061092,-1.6779490265630685e-07,1.2449253253685947e-11,0.0006870080351490827,1.2679429463700044e-19,9.009885931010142e-13,0.00022580868367172907,0.0006870080351490817,0.00022614455713671844,0.0006880300981200634,-1.6786783805894155e-07,0.9985147842192535,0.9985145083423322,3.0424340817106237,3.0424349222966547,0.9995655189017857,0.9997103310755892,0.9997465400168547,1.8456013343349869e-16
