target_kappaR,actual_kappaR,harmonic_n,U_amp,B_n
6.0,5.9504640470431704,1,0.2138695138521518,0.020089669108560724
6.0,5.9504640470431704,2,0.0017090924128228134,-5.336273037914164e-08
6.0,5.9504640470431704,3,0.0009178173233658013,-1.2170889103864638e-07
6.0,5.9504640470431704,4,0.000319288108641334,5.9044169508938266e-09
6.0,5.9504640470431704,5,8.592295214288303e-05,1.832230615632379e-09
6.0,5.9504640470431704,6,7.996334839898259e-05,-1.2196859590611613e-09
6.0,5.9504640470431704,7,0.00017693381565297043,-2.6399789139303335e-09
6.0,5.9504640470431704,8,0.0002236894738756632,-2.912410858961421e-09
7.0,7.046602160972175,1,0.12478003403936996,0.006788214419528545
7.0,7.046602160972175,2,0.0017459801318512715,-1.3117353609155089e-08
7.0,7.046602160972175,3,0.0008189260308372079,-8.472341550944212e-08
7.0,7.046602160972175,4,0.0003323671084884662,4.0131364758405297e-10
7.0,7.046602160972175,5,9.328137846322829e-05,-5.509013173025899e-10
7.0,7.046602160972175,6,8.563934872303696e-05,-4.0646240565978513e-10
7.0,7.046602160972175,7,0.00018364209064610849,-9.338126206188767e-10
7.0,7.046602160972175,8,0.0002313181135793589,-1.0667710447149437e-09
8.0,7.986149115768464,1,0.07895794702368514,0.0026414421481330877
8.0,7.986149115768464,2,0.0017597212593540184,-1.8540068387420308e-08
8.0,7.986149115768464,3,0.0004229777995669312,3.8073903959244424e-07
8.0,7.986149115768464,4,0.0003283339254652047,-9.106472261768345e-10
8.0,7.986149115768464,5,9.22952067903607e-05,7.525744855364339e-11
8.0,7.986149115768464,6,8.955306652267933e-05,-1.0112258849490974e-09
8.0,7.986149115768464,7,0.0001865925740044501,-1.0110137043385064e-09
8.0,7.986149115768464,8,0.0002338599536907973,-8.976954079477879e-10
