component,relative_rms_contribution
c0,0.008812707435658047
A1_minus_F0,0.00930685191993084
A2,0.0030049892911446787
S2,1.1177516363535754e-15
A3,5.8447487989140664e-05
S3,2.1140775586889464e-16
A4,5.214869840565344e-07
S4,1.9113389098260805e-16
A5,4.527612631162527e-06
S5,1.0281708655630143e-17
quadrature_sum,0.01316490419737243
direct_rms,0.013164905960931703
F0,0.004381252601239485
c0_value,-3.861069737643937e-05
A1_value,0.004438918105613697
A2_value,-1.861899432845503e-05
A3_value,-3.621422048288621e-07
